class,path,name,rank,cves
exploits,exploits/multi/http/monstra_fileupload_exec,"Monstra CMS Authenticated Arbitrary File Upload",excellent,
exploits,exploits/multi/http/builderengine_upload_exec,"builderengine_upload_exec",excellent,
exploits,exploits/multi/http/gitlab_shell_exec,"Gitlab-shell Code Execution",excellent,
exploits,exploits/multi/http/mma_backdoor_upload,"Th3 MMA mma.php Backdoor Arbitrary File Upload",excellent,
exploits,exploits/multi/http/ajaxplorer_checkinstall_exec,"AjaXplorer checkInstall.php Remote Command Execution",excellent,
exploits,exploits/multi/http/stunshell_exec,"STUNSHELL Web Shell Remote Code Execution",great,
exploits,exploits/multi/http/atlassian_confluence_unauth_backup,"Atlassian Confluence Unauth JSON setup-restore Improper Authorization leading to RCE (CVE-2023-22518)",excellent,CVE-2023-22518
exploits,exploits/multi/http/taiga_tribe_gig_unserial,"Taiga tribe_gig authenticated unserialize remote code execution",excellent,
exploits,exploits/multi/http/shopware_createinstancefromnamedarguments_rce,"shopware_createinstancefromnamedarguments_rce",excellent,
exploits,exploits/multi/http/jenkins_script_console,"Jenkins-CI Script-Console Java Execution",good,
exploits,exploits/multi/http/lighthouse_studio_unauth_rce_cve_2025_34300,"lighthouse_studio_unauth_rce_cve_2025_34300",excellent,CVE-2025-34300
exploits,exploits/multi/http/phpscheduleit_start_date,"phpScheduleIt PHP reserve.php start_date Parameter Arbitrary Code Injection",excellent,
exploits,exploits/multi/http/cacti_package_import_rce,"Cacti Import Packages RCE",excellent,CVE-2024-25641
exploits,exploits/multi/http/wp_ai_engine_mcp_rce,"WordPress AI Engine Plugin MCP Unauthenticated Admin Creation to RCE",excellent,CVE-2025-11749
exploits,exploits/multi/http/op5_license,"OP5 license.php Remote Command Execution",excellent,
exploits,exploits/multi/http/gambio_unauth_rce_cve_2024_23759,"Gambio Online Webshop unauthenticated PHP Deserialization Vulnerability",excellent,CVE-2024-23759
exploits,exploits/multi/http/sysaid_auth_file_upload,"SysAid Help Desk Administrator Portal Arbitrary File Upload",excellent,
exploits,exploits/multi/http/openfire_auth_bypass,"Openfire Admin Console Authentication Bypass",excellent,
exploits,exploits/multi/http/bitbucket_env_var_rce,"Bitbucket Environment Variable RCE",excellent,CVE-2022-43781
exploits,exploits/multi/http/spip_bigup_unauth_rce,"SPIP BigUp Plugin Unauthenticated RCE",excellent,
exploits,exploits/multi/http/totaljs_cms_widget_exec,"Total.js CMS 12 Widget JavaScript Code Injection",excellent,
exploits,exploits/multi/http/atlassian_confluence_rce_cve_2023_22527,"Atlassian Confluence SSTI Injection",excellent,CVE-2023-22527
exploits,exploits/multi/http/wp_acf_extended_rce,"WordPress ACF Extended Unauthenticated RCE via prepare_form()",excellent,
exploits,exploits/multi/http/vtiger_php_exec,"vTigerCRM v5.4.0/v5.3.0 Authenticated Remote Code Execution",excellent,
exploits,exploits/multi/http/manageengine_search_sqli,"ManageEngine Security Manager Plus 5.5 Build 5505 SQL Injection",excellent,
exploits,exploits/multi/http/wp_dnd_mul_file_rce,"Wordpress Drag and Drop Multi File Uploader RCE",excellent,CVE-2020-12800
exploits,exploits/multi/http/agent_tesla_panel_rce,"Agent Tesla Panel Remote Code Execution",excellent,
exploits,exploits/multi/http/op5_welcome,"OP5 welcome Remote Command Execution",excellent,
exploits,exploits/multi/http/openx_backdoor_php,"OpenX Backdoor PHP Code Execution",excellent,
exploits,exploits/multi/http/nuuo_nvrmini_upgrade_rce,"NUUO NVRmini upgrade_handle.php Remote Command Execution",excellent,
exploits,exploits/multi/http/moodle_teacher_enrollment_priv_esc_to_rce,"Moodle Teacher Enrollment Privilege Escalation to RCE",good,CVE-2020-14321
exploits,exploits/multi/http/glossword_upload_exec,"glossword_upload_exec",excellent,
exploits,exploits/multi/http/atutor_upload_traversal,"ATutor 2.2.4 - Directory Traversal / Remote Code Execution,",excellent,
exploits,exploits/multi/http/hp_sitescope_uploadfileshandler,"HP SiteScope Remote Code Execution",good,
exploits,exploits/multi/http/apache_mod_cgi_bash_env_exec,"Apache mod_cgi Bash Environment Variable Code Injection (Shellshock)",excellent,CVE-2014-6271;CVE-2014-6278
exploits,exploits/multi/http/traq_plugin_exec,"Traq admincp/common.php Remote Code Execution",excellent,
exploits,exploits/multi/http/playsms_uploadcsv_exec,"PlaySMS import.php Authenticated CSV File Upload Code Execution",excellent,
exploits,exploits/multi/http/polarcms_upload_exec,"PolarBear CMS PHP File Upload Vulnerability",excellent,
exploits,exploits/multi/http/phpmoadmin_exec,"PHPMoAdmin 1.1.2 Remote Code Execution",excellent,
exploits,exploits/multi/http/geoserver_unauth_rce_cve_2024_36401,"Geoserver unauthenticated Remote Code Execution",excellent,CVE-2024-36401
